iter	Passed	Remaining
463	756	874
464	758	872
465	759	870
466	760	868
467	764	869
468	765	867
469	767	865
470	768	863
471	770	861
472	771	859
473	772	857
474	774	855
475	775	853
476	776	851
477	780	852
478	782	851
479	783	849
480	785	847
481	786	845
482	787	843
483	788	841
484	790	839
485	791	837
486	793	836
487	795	834
488	796	832
489	798	830
490	799	828
491	800	826
492	802	824
493	803	822
494	804	820
495	805	818
496	807	817
497	809	816
498	811	814
499	812	812
500	813	810
501	815	808
502	816	806
503	817	804
504	818	802
505	819	800
506	821	798
507	823	797
508	825	795
509	826	793
510	827	792
511	828	790
512	830	787
513	831	785
514	832	783
515	833	781
516	834	779
517	835	777
518	837	776
519	839	775
520	841	773
521	842	771
522	843	769
523	845	767
524	846	765
525	847	763
526	848	761
527	849	759
528	851	758
529	853	756
530	855	755
531	856	753
532	857	751
533	859	749
534	860	747
535	861	745
536	862	743
537	864	741
538	865	740
539	867	739
540	869	737
541	870	735
542	872	734
543	873	732
544	874	730
545	876	728
546	877	726
547	878	724
548	882	724
549	883	722
550	885	721
551	886	719
552	887	717
553	888	715
554	889	713
555	890	711
556	892	709
557	892	707
558	893	705
559	896	704
560	898	702
561	899	700
562	900	698
563	901	697
564	902	695
565	904	693
566	905	691
567	906	689
568	907	687
569	910	687
570	912	685
571	913	683
572	914	681
573	916	679
574	917	677
575	918	675
576	919	673
577	920	671
578	921	670
579	922	668
580	924	666
581	927	666
582	928	664
583	930	662
584	931	660
585	932	658
586	933	657
587	935	655
588	936	653
589	938	651
590	940	650
591	941	649
592	943	647
593	944	645
594	945	643
595	946	641
596	947	639
597	949	638
598	950	636
599	951	634
600	952	632
601	954	631
602	956	630
603	958	628
604	959	626
605	960	624
606	961	622
607	962	620
608	963	618
609	964	616
610	965	614
611	967	613
612	968	611
613	970	610
614	971	608
615	973	606
616	974	604
617	975	602
618	976	600
619	977	599
620	978	597
621	979	595
622	980	593
623	981	591
624	982	589
625	983	587
626	985	586
627	986	584
628	987	582
629	988	580
630	989	578
631	990	576
632	991	574
633	992	572
634	993	571
635	994	569
636	995	567
637	996	565
638	997	563
639	999	562
640	1000	560
641	1002	558
642	1003	557
643	1005	555
644	1006	554
645	1008	552
646	1009	550
647	1010	548
648	1011	547
649	1014	546
650	1016	545
651	1017	543
652	1019	541
653	1020	539
654	1021	537
655	1022	536
656	1024	534
657	1025	532
658	1026	531
659	1028	529
660	1030	528
661	1031	526
662	1032	524
663	1033	523
664	1034	521
665	1036	519
666	1037	517
667	1038	516
668	1039	514
669	1040	512
670	1042	511
671	1043	509
672	1045	507
673	1046	506
674	1047	504
675	1048	502
676	1050	500
677	1052	499
678	1053	498
679	1054	496
680	1056	494
681	1057	493
682	1059	491
683	1061	490
684	1062	488
685	1064	487
686	1065	485
687	1066	483
688	1068	482
689	1069	480
690	1070	478
691	1071	477
692	1073	475
693	1074	473
694	1075	472
695	1076	470
696	1077	468
697	1079	466
698	1080	465
699	1082	463
700	1083	461
701	1084	460
702	1085	458
703	1088	457
704	1089	455
705	1090	454
706	1091	452
707	1093	450
708	1094	449
709	1095	447
710	1096	445
711	1097	443
712	1098	442
713	1099	440
714	1100	438
715	1102	437
716	1103	435
717	1104	433
718	1105	432
719	1106	430
720	1107	428
721	1108	426
722	1110	425
723	1111	423
724	1111	421
725	1112	420
726	1113	418
727	1114	416
728	1115	414
729	1117	413
730	1118	411
731	1119	409
732	1120	408
733	1121	406
734	1122	404
735	1123	403
736	1124	401
737	1125	399
738	1126	397
739	1127	396
740	1128	394
741	1129	392
742	1130	391
743	1132	389
744	1133	387
745	1134	386
746	1135	384
747	1136	382
748	1137	381
749	1138	379
750	1139	377
751	1140	376
752	1141	374
753	1143	372
754	1144	371
755	1145	369
756	1147	368
757	1148	366
758	1149	364
759	1150	363
760	1151	361
761	1152	360
762	1154	358
763	1155	356
764	1156	355
765	1157	353
766	1158	351
767	1159	350
768	1160	348
769	1162	347
770	1163	345
771	1165	344
772	1166	342
773	1167	340
774	1168	339
775	1169	337
776	1170	335
777	1171	334
778	1172	332
779	1173	331
780	1174	329
781	1176	327
782	1177	326
783	1179	324
784	1180	323
785	1181	321
786	1182	320
787	1184	318
788	1185	316
789	1186	315
790	1187	313
791	1188	312
792	1189	310
793	1190	308
794	1192	307
795	1193	305
796	1194	304
797	1195	302
798	1197	301
799	1198	299
800	1199	297
801	1200	296
802	1201	294
803	1202	293
804	1203	291
805	1204	289
806	1205	288
807	1207	286
808	1208	285
809	1209	283
810	1210	282
811	1211	280
812	1213	279
813	1214	277
814	1216	276
815	1217	274
816	1218	272
817	1219	271
818	1220	269
